执行时间,执行包,执行次数,最终数据结果
2019-12-18 07:00:03,CSV_CHECKRESULT(20191218),1,6890
2019-12-18 08:00:09,PKG_LC_INDEX_VOLTE_CELL.PROC_LC_INDEX_VOLTE_8(20191218),1,3
2019-12-18 08:00:11,PKG_LC_INDEX_VOLTE_CELL.PROC_ZC_CELL_LIST_VOLTE_DAY(20191218),1,92139
2019-12-18 08:00:15,PKG_LC_INDEX_VOLTE_CELL.LC_INDEX_VOLTE_BAD_CELL_DAY(20191218),1,3
