执行时间,执行包,执行次数,最终数据结果
2019-12-13 07:00:18,CSV_CHECKRESULT(20191213),1,6916
2019-12-13 08:00:24,PKG_LC_INDEX_VOLTE_CELL.PROC_LC_INDEX_VOLTE_8(20191213),1,3
2019-12-13 08:00:27,PKG_LC_INDEX_VOLTE_CELL.PROC_ZC_CELL_LIST_VOLTE_DAY(20191213),1,92056
2019-12-13 08:00:33,PKG_LC_INDEX_VOLTE_CELL.LC_INDEX_VOLTE_BAD_CELL_DAY(20191213),1,3
