执行时间,执行包,执行次数,最终数据结果
2020-01-02 08:00:19,PKG_LC_INDEX_VOLTE_CELL.PROC_LC_INDEX_VOLTE_8(20200102),1,3
2020-01-02 08:00:21,PKG_LC_INDEX_VOLTE_CELL.PROC_ZC_CELL_LIST_VOLTE_DAY(20200102),1,92669
2020-01-02 08:00:26,PKG_LC_INDEX_VOLTE_CELL.LC_INDEX_VOLTE_BAD_CELL_DAY(20200102),1,3
2020-01-02 07:00:13,CSV_CHECKRESULT(20200102),1,6852
